Word,Count,POS,Definition
attic,5,n,(architecture) a low wall at the top of the entablature; hides the roof
attic,5,n,informal terms for a human head
Attic,5,n,the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
Auden,5,n,United States poet (born in England) (1907-1973)
audio,5,n,the sound elements of television
audio,5,n,an audible acoustic wave frequency
audio,5,n,the audible part of a transmitted signal; they always raise the audio for commercials
audit,5,n,a methodical examination or review of a condition or situation; he made an audit of all the plants on his property; an energy efficiency audit; an email log audit
auger,5,n,hand tool for boring holes
augur,5,n,(ancient Rome) a religious official who interpreted omens to guide public policy
auxin,5,n,a plant hormone that promotes root formation and bud growth
Avahi,5,n,a genus of Indriidae
avail,5,n,a means of serving; of no avail; there's no help for it
Avena,5,n,oats
avens,5,n,any of various perennials of the genus Geum having usually pinnate basal leaves and variously colored flowers
award,5,n,a grant made by a law court; he criticized the awarding of compensation by the court
award,5,n,a tangible symbol signifying approval or distinction; an award for bravery
axiom,5,n,(logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident
Azeri,5,n,an ethnic group living in Azerbaijan
azide,5,n,a chemical compound containing the azido group combined with an element or radical
azote,5,n,an obsolete name for nitrogen
Aztec,5,n,a member of the Nahuatl people who established an empire in Mexico that was overthrown by Cortes in 1519
azure,5,n,a light shade of blue
Babar,5,n,an imaginary elephant that appears in a series of French books for children
babel,5,n,a confusion of voices and other sounds
babka,5,n,a coffee cake flavored with orange rind and raisins and almonds
bacon,5,n,back and sides of a hog salted and dried or smoked; usually sliced thin and fried
Bacon,5,n,English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)
Bacon,5,n,English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
badge,5,n,any feature that is regarded as a sign of status (a particular power or quality or rank); wearing a tie was regarded as a badge of respectability
badge,5,n,an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.); they checked everyone's badge before letting them in
bagel,5,n,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
Bahai,5,n,a teacher of or believer in Bahaism
bairn,5,n,a child: son or daughter
baiza,5,n,"1,000 baiza equal 1 riyal-omani in Oman"
baize,5,n,a bright green fabric napped to resemble felt; used to cover gaming tables
baker,5,n,someone who bakes bread or cake
baker,5,n,someone who bakes commercially
balas,5,n,a pale rose-colored variety of the ruby spinel
balsa,5,n,forest tree of lowland Central America having a strong very light wood; used for making floats and rafts and in crafts
balsa,5,n,strong lightweight wood of the balsa tree used especially for floats
Banff,5,n,a popular vacation spot in the Canadian Rockies
