Word,Count,POS,Synonyms
eased,5,verb,ease|comfort;ease|facilitate;ease;alleviate|still;allay;relieve;ease
eased,5,satellite,alleviated;relieved
ebony,5,noun,coal black;jet black;pitch black;sable;soot black|ebony tree;Diospyros ebenum
ebony,5,satellite,ebon
edged,5,verb,edge;inch|border;edge|border;adjoin;edge;abut;march;butt;butt against;butt on|edge
edged,5,satellite,cutting;stinging
eerie,5,satellite,eery
eight,5,noun,8;VIII;eighter;eighter from Decatur;octad;ogdoad;octonary;octet|Ashcan School;Eight|eight-spot
eight,5,satellite,8;viii
elder,5,noun,senior|elderberry bush
elder,5,satellite,older;sr.
elect,5,noun,chosen
elect,5,satellite,elite
elfin,5,satellite,fey|elflike|elfish;elvish
elite,5,noun,elite group
elite,5,satellite,elect
empty,5,verb,discharge|vacate;abandon|evacuate;void
empty,5,satellite,hollow;vacuous|empty-bellied
enate,5,noun,matrikin;matrilineal kin;matrisib;matrilineal sib
enate,5,satellite,enatic;maternal
ended,5,verb,end;stop;finish;terminate;cease|end;terminate|end;terminate|end
ended,5,satellite,complete;concluded;over;all over;terminated
equal,5,noun,peer;match;compeer
equal,5,verb,be|touch;rival;match|match;equalize;equalise;equate
equal,5,adjective,adequate
erect,5,verb,raise;rear;set up;put up|rear
erect,5,adjective,vertical;upright
erect,5,satellite,tumid
erose,5,satellite,jagged;jaggy;notched;toothed
exact,5,verb,demand|claim;take
exact,5,satellite,accurate;precise
extra,5,noun,supernumerary;spear carrier|duplicate
extra,5,satellite,excess;redundant;spare;supererogatory;superfluous;supernumerary;surplus|special|additional
faced,5,verb,confront;face up;face|confront;face|front;look;face|face|face|confront;face;present|face|face|face
faddy,5,satellite,faddish
faded,5,verb,fade;melt|fade;wither|evanesce;fade;blow over;pass off;fleet;pass|languish;fade
faded,5,satellite,bleached;washed-out;washy|attenuate;attenuated;weakened
faint,5,noun,swoon;syncope;deliquium
faint,5,verb,conk;swoon;pass out
faint,5,satellite,weak|dim;shadowy;vague;wispy|feeble|light;swooning;light-headed;lightheaded|fainthearted;timid;faint-hearted
