lemma,Count,part_of_speech,hypernyms
breed,5,noun,animal group;variety|type
breed,5,verb,cause|copulate|produce|reproduce
brent,5,noun,goose
breve,5,noun,diacritical mark
briar,5,noun,rose|vine|erica|pipe
bribe,5,noun,payment
bribe,5,verb,pay
brick,5,noun,building material;ceramic|good person
bride,5,noun,newlywed|participant
brief,5,noun,legal document|outline
brief,5,verb,instruct
brier,5,noun,vegetation|branchlet|rose|vine|erica
brill,5,noun,lefteye flounder
brine,5,noun,water|solution
brine,5,verb,drench
bring,5,verb,transport|change|make|transmit|change|make|change|attract|induce
brink,5,noun,boundary|edge|limit
briny,5,noun,body of water
brisk,5,verb,accelerate
briss,5,noun,circumcision|circumcision
brith,5,noun,circumcision
brits,5,noun,nation|european|young fish|copepod
britt,5,noun,young fish|copepod
broad,5,noun,woman
broil,5,noun,cooking
broil,5,verb,grill|heat|be
broke,5,verb,end|change integrity|damage|destroy|separate|disrespect|escape|disperse|express emotion|end|trespass|domesticate|surpass|tell|become|change|separate|flee|collapse|deaden|change|end|change|discontinue|come forth|happen|ruin|invalidate|delegate|impoverish|switch|appear|change|dance|change|change|shoot|separate|decay|detach|penetrate|interrupt|interrupt|diphthongize|destroy|solve|switch|happen|change|change state|decrease|injure|decrease|weaken
brome,5,noun,grass
bronc,5,noun,mustang
brood,5,noun,animal group
brood,5,verb,worry|hang|sulk|reproduce
brook,5,noun,stream
brook,5,verb,permit
broom,5,noun,cleaning implement|shrub|heath
broom,5,verb,wipe|finish
broth,5,noun,soup|soup
brown,5,noun,chromatic color
brown,5,verb,cook|color
bruin,5,noun,bear|bear
bruit,5,verb,dish the dirt
brule,5,noun,teton
brunt,5,noun,force
brush,5,noun,vegetation|implement|touch|electrical device|tail|fight|dental care|hair care|contact
brush,5,verb,rub|touch|clean|move|remove|cover
brute,5,noun,attacker|organism
bryum,5,noun,moss genus
buddy,5,noun,friend
budge,5,verb,move
buggy,5,noun,carriage
bugle,5,noun,brass|herb|bead
bugle,5,verb,play
build,5,noun,bodily property|body
build,5,verb,make|develop|make|better|oversee|develop|create|establish|increase|intensify
built,5,verb,make|develop|make|better|oversee|develop|create|establish|increase|intensify
bulge,5,noun,projection
bulge,5,verb,change shape|stick out|change shape|swell
bulla,5,noun,vesicle|seal
bully,5,noun,attacker|hood
bully,5,verb,intimidate|wheedle
bumph,5,noun,reading
bunce,5,noun,happening
bunch,5,noun,agglomeration|gathering|collection
bunch,5,verb,cluster|form
bunco,5,noun,swindle
bunco,5,verb,cheat
bunko,5,noun,swindle
bunny,5,noun,waitress|rabbit
buret,5,noun,measuring instrument
burgh,5,noun,borough
burin,5,noun,chisel
burka,5,noun,garment
burke,5,verb,murder|suppress
burns,5,noun,pain|hyperpigmentation|injury|blemish|damage
