lemma,Count,part_of_speech,hyponyms
berth,5,noun,academicianship;accountantship;admiralty;ambassadorship;apostleship;apprenticeship;associateship;attorneyship;bailiffship;baronetage;bishopry;cadetship;caliphate;captainship;cardinalship;chairmanship;chancellorship;chaplaincy;chieftaincy;clerkship;commandership;comptrollership;consulship;controllership;councillorship;counselorship;curacy;curatorship;custodianship;deanship;directorship;discipleship;editorship;eldership;emirate;fatherhood;fatherhood;foremanship;generalship;governorship;headship;headship;hot seat;incumbency;inspectorship;instructorship;internship;judgeship;khanate;lectureship;legation;legislatorship;librarianship;lieutenancy;magistracy;managership;manhood;marshalship;mastership;mayoralty;messiahship;moderatorship;overlordship;pastorship;peasanthood;plum;praetorship;precentorship;preceptorship;prefecture;prelacy;premiership;presidency;primateship;principalship;priorship;proconsulship;proctorship;professorship;protectorship;public office;rabbinate;receivership;rectorship;regency;residency;rulership;sainthood;secretaryship;seigniory;senatorship;sinecure;solicitorship;speakership;stewardship;studentship;teachership;thaneship;throne;treasurership;tribuneship;trusteeship;vice-presidency;viceroyship;viziership;wardenship;wardership;womanhood|lower berth;upper berth
berth,5,verb,wharf
beryl,5,noun,aquamarine;emerald;morganite
beset,5,verb,haze;needle;torment
bevel,5,noun,splay
bevel,5,verb,cone;miter
bible,5,noun,family bible
biddy,5,noun,brood hen;cackler;layer;mother hen;pullet
bigot,5,noun,antifeminist;chauvinist;homophobe;racist;sectarian;segregator
bilge,5,noun,bilges
binge,5,noun,piss-up
biome,5,noun,desert;forest;grassland
birch,5,noun,american white birch;black birch;downy birch;grey birch;newfoundland dwarf birch;silver birch;swamp birch;sweet birch;yellow birch;yukon white birch
birth,5,noun,cradle|delivery;live birth;posthumous birth;posthumous birth;reincarnation|brooding;calving;childbirth;farrow;hatch;laying;parturiency
birth,5,verb,calve;cub;drop;farrow;fawn;foal;have a bun in the oven;kitten;lamb;litter;twin;whelp
bison,5,noun,american bison;wisent
bitch,5,noun,brood bitch
biter,5,noun,nibbler
black,5,noun,coal black|black man;black woman;colored person;darky;negress;nigger;pickaninny;tom
blade,5,noun,backsword;broadsword;cavalry sword;cutlas;falchion;fencing sword;rapier|vane|fan blade;impeller;paddle;rudder blade|knife blade;razorblade
blain,5,noun,chilblain
blame,5,noun,self-incrimination
blare,5,verb,tootle
blast,5,noun,water hammer|bluster;puff;sandblast|bomb blast
blast,5,verb,crump|blaze away;gun;open fire;overshoot;pump;sharpshoot
bleed,5,verb,menstruate|crock
blend,5,noun,confluence;homogenization
blend,5,verb,commingle|absorb;accrete;admix;alloy;blend in;conjugate;gauge;melt;syncretize
bless,5,verb,anoint|reconsecrate
blest,5,verb,anoint|reconsecrate
blind,5,noun,curtain;shutter;window blind;winker
blind,5,verb,dazzle;seel;snow-blind|abacinate
blink,5,noun,palpebration
blink,5,verb,bat;palpebrate|flicker
bliss,5,noun,ecstasy
bloat,5,verb,distend
